Tender_ID,Award_Year,District,Department,Project_Name,Vendor_Name,Project_Length_km,Tender_Value_Adjusted_Rs,Bidders_Count,Road_Type
TND001,2018,Howrah,Public Works,Village Road Construction Phase 1,ABC Construction Pvt Ltd,12.5,25000000,5,Rural
TND002,2018,Howrah,Public Works,Highway Widening NH-34,XYZ Infrastructure Private Limited,25.0,52000000,8,Highway
TND003,2018,Kolkata,Rural Development,Village Connectivity Project,West Bengal Builders Ltd,8.3,18000000,3,Rural
TND004,2018,Howrah,Public Works,State Highway Construction,Delta Roadways Pvt Ltd,45.0,75000000,12,Highway
TND005,2019,Howrah,Rural Development,Block Level Road Project,ABC Construction Pvt Ltd,15.0,32000000,4,Rural
TND006,2019,Kolkata,Public Works,Urban Road Improvement,Modern Constructions Ltd,10.0,45000000,6,Urban
TND007,2019,Howrah,Rural Development,Panchayat Road Construction,XYZ Infrastructure Private Limited,12.0,28000000,5,Rural
TND008,2019,Howrah,Public Works,Bridge and Road Project,Gamma Builders Pvt Ltd,30.0,62000000,9,Highway
TND009,2020,Howrah,Rural Development,Road and Culvert Repair,ABC Construction Pvt Ltd,18.0,35000000,4,Rural
TND010,2020,Kolkata,Public Works,Highway Maintenance Project,Delta Roadways Pvt Ltd,28.0,58000000,7,Highway
TND011,2020,Howrah,Rural Development,Village Connectivity Phase 2,Modern Constructions Ltd,20.0,42000000,6,Rural
TND012,2020,Howrah,Rural Development,Major Village Connectivity,ABC Construction Pvt Ltd,50.0,250000000,2,Rural
TND013,2021,Kolkata,Public Works,Urban Road Development,XYZ Infrastructure Private Limited,15.0,38000000,8,Urban
TND014,2021,Howrah,Rural Development,District Level Road Project,Gamma Builders Pvt Ltd,22.0,49000000,5,Rural
TND015,2021,Howrah,Public Works,Highway Construction Project,Delta Roadways Pvt Ltd,35.0,55000000,10,Highway
TND016,2021,Howrah,Rural Development,Village Road Construction,ABC Construction Pvt Ltd,16.0,42000000,3,Rural
TND017,2022,Kolkata,Public Works,State Highway Improvement,Modern Constructions Ltd,40.0,68000000,9,Highway
TND018,2022,Howrah,Rural Development,Road and Bridge Construction,XYZ Infrastructure Private Limited,25.0,51000000,7,Rural
TND019,2022,Kolkata,Public Works,Urban Road Construction,ABC Construction Pvt Ltd,12.0,45000000,4,Urban
TND020,2022,Howrah,Rural Development,Block Headquarters Road,Delta Roadways Pvt Ltd,55.0,85000000,11,Rural
TND021,2023,Kolkata,Public Works,Highway Widening Project,Gamma Builders Pvt Ltd,30.0,48000000,8,Highway
TND022,2023,Howrah,Rural Development,Village Road Project,ABC Construction Pvt Ltd,20.0,52000000,2,Rural
TND023,2023,Kolkata,Public Works,Urban Development Phase 3,Modern Constructions Ltd,18.0,60000000,12,Urban
TND024,2023,Howrah,Rural Development,Rural Road Construction,XYZ Infrastructure Private Limited,32.0,72000000,6,Rural
TND025,2024,Howrah,Rural Development,Major Connectivity Project,ABC Construction Pvt Ltd,75.0,380000000,1,Rural
TND026,2024,Kolkata,Public Works,Highway Construction,Delta Roadways Pvt Ltd,28.0,55000000,10,Highway
TND027,2024,Howrah,Rural Development,Road and Culvert Project,Gamma Builders Pvt Ltd,24.0,64000000,7,Rural
TND028,2024,Kolkata,Public Works,State Road Improvement,Modern Constructions Ltd,22.0,58000000,9,Highway
TND029,2024,Howrah,Rural Development,Village Road Construction,ABC Construction Pvt Ltd,14.0,49000000,3,Rural
TND030,2024,Kolkata,Public Works,Urban Development Final,XYZ Infrastructure Private Limited,16.0,62000000,8,Urban
TND031,2018,Darjeeling,Public Works,Hill Road Construction,Mountain Builders Ltd,15.5,42000000,6,Rural
TND032,2018,Darjeeling,Rural Development,Tea Garden Road Project,ABC Construction Pvt Ltd,8.2,28000000,4,Rural
TND033,2019,Darjeeling,Public Works,Highway Repair NH-55,Delta Roadways Pvt Ltd,22.0,65000000,9,Highway
TND034,2019,Jalpaiguri,Rural Development,Village Road Connectivity,XYZ Infrastructure Private Limited,18.5,35000000,5,Rural
TND035,2020,Jalpaiguri,Public Works,District Road Improvement,Modern Constructions Ltd,25.0,58000000,7,Highway
TND036,2020,Jalpaiguri,Rural Development,Block Road Construction,Gamma Builders Pvt Ltd,12.8,31000000,4,Rural
TND037,2021,Darjeeling,Public Works,State Highway Widening,ABC Construction Pvt Ltd,30.0,95000000,11,Highway
TND038,2021,Jalpaiguri,Rural Development,Panchayat Road Project,Delta Roadways Pvt Ltd,14.2,38000000,6,Rural
TND039,2022,Darjeeling,Public Works,Urban Road Development,XYZ Infrastructure Private Limited,10.5,45000000,8,Urban
TND040,2022,Jalpaiguri,Public Works,Highway Construction,Modern Constructions Ltd,35.0,78000000,10,Highway
TND041,2023,Darjeeling,Rural Development,Hill Area Connectivity,ABC Construction Pvt Ltd,20.0,55000000,3,Rural
TND042,2023,Jalpaiguri,Public Works,State Road Repair,Gamma Builders Pvt Ltd,28.5,72000000,9,Highway
TND043,2024,Darjeeling,Public Works,Tourism Route Development,Delta Roadways Pvt Ltd,16.8,62000000,7,Highway
TND044,2024,Jalpaiguri,Rural Development,Village Connectivity Phase 3,XYZ Infrastructure Private Limited,22.0,48000000,5,Rural
TND045,2018,Murshidabad,Public Works,District Road Construction,Modern Constructions Ltd,28.0,68000000,8,Highway
TND046,2018,Murshidabad,Rural Development,Village Road Project,ABC Construction Pvt Ltd,15.5,32000000,4,Rural
TND047,2019,Murshidabad,Public Works,Highway Maintenance,Delta Roadways Pvt Ltd,40.0,85000000,10,Highway
TND048,2019,Nadia,Rural Development,Block Road Connectivity,Gamma Builders Pvt Ltd,18.0,42000000,6,Rural
TND049,2020,Nadia,Public Works,State Highway Construction,XYZ Infrastructure Private Limited,32.0,75000000,9,Highway
TND050,2020,Murshidabad,Rural Development,Gram Panchayat Roads,Modern Constructions Ltd,12.5,28000000,5,Rural
TND051,2021,Nadia,Public Works,Urban Road Development,ABC Construction Pvt Ltd,14.0,52000000,7,Urban
TND052,2021,Murshidabad,Rural Development,Village Road Improvement,Delta Roadways Pvt Ltd,20.0,45000000,4,Rural
TND053,2022,Nadia,Public Works,Highway Widening Project,Gamma Builders Pvt Ltd,38.0,88000000,11,Highway
TND054,2022,Murshidabad,Rural Development,District Road Repair,XYZ Infrastructure Private Limited,16.5,38000000,6,Rural
TND055,2023,Nadia,Public Works,State Road Construction,Modern Constructions Ltd,26.0,68000000,8,Highway
TND056,2023,Murshidabad,Rural Development,Village Connectivity,ABC Construction Pvt Ltd,19.0,42000000,3,Rural
TND057,2024,Nadia,Public Works,Urban Infrastructure Project,Delta Roadways Pvt Ltd,12.0,55000000,9,Urban
TND058,2024,Murshidabad,Rural Development,Block Level Roads,Gamma Builders Pvt Ltd,24.0,58000000,7,Rural
TND059,2018,Purulia,Public Works,Tribal Area Road Project,XYZ Infrastructure Private Limited,22.0,48000000,5,Rural
TND060,2018,Purulia,Rural Development,Village Connectivity,Modern Constructions Ltd,14.5,32000000,4,Rural
TND061,2019,Bankura,Public Works,District Highway Construction,ABC Construction Pvt Ltd,30.0,72000000,9,Highway
TND062,2019,Bankura,Rural Development,Block Road Project,Delta Roadways Pvt Ltd,16.0,38000000,6,Rural
TND063,2020,Purulia,Public Works,State Road Improvement,Gamma Builders Pvt Ltd,28.0,65000000,8,Highway
TND064,2020,Bankura,Rural Development,Village Road Construction,XYZ Infrastructure Private Limited,18.5,42000000,5,Rural
TND065,2021,Purulia,Public Works,Highway Maintenance Project,Modern Constructions Ltd,35.0,78000000,10,Highway
TND066,2021,Bankura,Rural Development,Panchayat Road Development,ABC Construction Pvt Ltd,12.8,28000000,3,Rural
TND067,2022,Purulia,Public Works,Urban Road Construction,Delta Roadways Pvt Ltd,10.5,45000000,7,Urban
TND068,2022,Bankura,Public Works,State Highway Widening,Gamma Builders Pvt Ltd,40.0,92000000,11,Highway
TND069,2023,Purulia,Rural Development,Village Connectivity Phase 2,XYZ Infrastructure Private Limited,20.0,48000000,6,Rural
TND070,2023,Bankura,Public Works,District Road Repair,Modern Constructions Ltd,26.0,62000000,8,Highway
TND071,2024,Purulia,Public Works,Highway Construction,ABC Construction Pvt Ltd,32.0,75000000,9,Highway
TND072,2024,Bankura,Rural Development,Block Road Improvement,Delta Roadways Pvt Ltd,22.0,52000000,5,Rural
